"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	134	182725	73.3
	"2009"	"2009"	"65-74 years"	"65-74"	"Female"	"F"	238	131980	180.3
	"2009"	"2009"	"65-74 years"	"65-74"	"Male"	"M"	259	114980	225.3
	"2009"	"2009"	"75-84 years"	"75-84"	"Female"	"F"	413	82762	499.0
	"2009"	"2009"	"75-84 years"	"75-84"	"Male"	"M"	394	64368	612.1
	"2009"	"2009"	"85+ years"	"85+"	"Female"	"F"	430	37088	1159.4
	"2009"	"2009"	"85+ years"	"85+"	"Male"	"M"	311	20183	1540.9
	"2010"	"2010"	"35-44 years"	"35-44"	"Female"	"F"	11	261105	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Female"	"F"	39	255797	15.2
	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	43	248168	17.3
	"2010"	"2010"	"55-64 years"	"55-64"	"Female"	"F"	97	209733	46.2
	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	100	188576	53.0
	"2010"	"2010"	"65-74 years"	"65-74"	"Female"	"F"	218	136394	159.8
	"2010"	"2010"	"65-74 years"	"65-74"	"Male"	"M"	238	118994	200.0
	"2010"	"2010"	"75-84 years"	"75-84"	"Female"	"F"	345	83041	415.5
	"2010"	"2010"	"75-84 years"	"75-84"	"Male"	"M"	379	65158	581.7
	"2010"	"2010"	"85+ years"	"85+"	"Female"	"F"	389	38170	1019.1
	"2010"	"2010"	"85+ years"	"85+"	"Male"	"M"	278	20884	1331.2
	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	30	257937	11.6
	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	30	251053	11.9
	"2011"	"2011"	"55-64 years"	"55-64"	"Female"	"F"	97	220140	44.1
	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	112	197641	56.7
	"2011"	"2011"	"65-74 years"	"65-74"	"Female"	"F"	241	143259	168.2
	"2011"	"2011"	"65-74 years"	"65-74"	"Male"	"M"	249	125418	198.5
	"2011"	"2011"	"75-84 years"	"75-84"	"Female"	"F"	425	84888	500.7
	"2011"	"2011"	"75-84 years"	"75-84"	"Male"	"M"	372	67775	548.9
	"2011"	"2011"	"85+ years"	"85+"	"Female"	"F"	421	40156	1048.4
	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	310	22519	1376.6
	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	14	266104	Unreliable
	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	30	259903	11.5
	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	29	253621	11.4
	"2012"	"2012"	"55-64 years"	"55-64"	"Female"	"F"	107	224342	47.7
	"2012"	"2012"	"55-64 years"	"55-64"	"Male"	"M"	100	202252	49.4
	"2012"	"2012"	"65-74 years"	"65-74"	"Female"	"F"	253	154693	163.5
	"2012"	"2012"	"65-74 years"	"65-74"	"Male"	"M"	251	135459	185.3
	"2012"	"2012"	"75-84 years"	"75-84"	"Female"	"F"	385	86834	443.4
	"2012"	"2012"	"75-84 years"	"75-84"	"Male"	"M"	406	69976	580.2
	"2012"	"2012"	"85+ years"	"85+"	"Female"	"F"	374	41388	903.6
	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	297	23425	1267.9
	"2013"	"2013"	"35-44 years"	"35-44"	"Female"	"F"	11	269129	Unreliable
	"2013"	"2013"	"45-54 years"	"45-54"	"Female"	"F"	32	262621	12.2
	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	43	257322	16.7
	"2013"	"2013"	"55-64 years"	"55-64"	"Female"	"F"	118	230539	51.2
	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	95	208470	45.6
	"2013"	"2013"	"65-74 years"	"65-74"	"Female"	"F"	237	165136	143.5
	"2013"	"2013"	"65-74 years"	"65-74"	"Male"	"M"	281	143933	195.2
	"2013"	"2013"	"75-84 years"	"75-84"	"Female"	"F"	414	88886	465.8
	"2013"	"2013"	"75-84 years"	"75-84"	"Male"	"M"	391	72811	537.0
	"2013"	"2013"	"85+ years"	"85+"	"Female"	"F"	496	42506	1166.9
	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	342	24801	1379.0
	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	10	294219	Unreliable
	"2014"	"2014"	"35-44 years"	"35-44"	"Female"	"F"	13	272971	Unreliable
	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	11	270404	Unreliable
	"2014"	"2014"	"45-54 years"	"45-54"	"Female"	"F"	44	266280	16.5
	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	33	261386	12.6
	"2014"	"2014"	"55-64 years"	"55-64"	"Female"	"F"	120	237015	50.6
	"2014"	"2014"	"55-64 years"	"55-64"	"Male"	"M"	144	215277	66.9
	"2014"	"2014"	"65-74 years"	"65-74"	"Female"	"F"	239	175455	136.2
	"2014"	"2014"	"65-74 years"	"65-74"	"Male"	"M"	302	151856	198.9
	"2014"	"2014"	"75-84 years"	"75-84"	"Female"	"F"	417	92152	452.5
	"2014"	"2014"	"75-84 years"	"75-84"	"Male"	"M"	421	76241	552.2
	"2014"	"2014"	"85+ years"	"85+"	"Female"	"F"	413	43928	940.2
	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	350	26302	1330.7
	"2015"	"2015"	"45-54 years"	"45-54"	"Female"	"F"	23	271153	8.5
	"2015"	"2015"	"45-54 years"	"45-54"	"Male"	"M"	38	266017	14.3
	"2015"	"2015"	"55-64 years"	"55-64"	"Female"	"F"	124	245169	50.6
	"2015"	"2015"	"55-64 years"	"55-64"	"Male"	"M"	130	223596	58.1
	"2015"	"2015"	"65-74 years"	"65-74"	"Female"	"F"	271	184838	146.6
	"2015"	"2015"	"65-74 years"	"65-74"	"Male"	"M"	342	160246	213.4
	"2015"	"2015"	"75-84 years"	"75-84"	"Female"	"F"	414	95695	432.6
	"2015"	"2015"	"75-84 years"	"75-84"	"Male"	"M"	463	79026	585.9
	"2015"	"2015"	"85+ years"	"85+"	"Female"	"F"	531	45363	1170.6
	"2015"	"2015"	"85+ years"	"85+"	"Male"	"M"	378	27793	1360.1
	"2016"	"2016"	"45-54 years"	"45-54"	"Female"	"F"	49	274564	17.8
	"2016"	"2016"	"45-54 years"	"45-54"	"Male"	"M"	49	269316	18.2
	"2016"	"2016"	"55-64 years"	"55-64"	"Female"	"F"	148	251912	58.8
	"2016"	"2016"	"55-64 years"	"55-64"	"Male"	"M"	140	230181	60.8
	"2016"	"2016"	"65-74 years"	"65-74"	"Female"	"F"	337	193803	173.9
	"2016"	"2016"	"65-74 years"	"65-74"	"Male"	"M"	365	167938	217.3
	"2016"	"2016"	"75-84 years"	"75-84"	"Female"	"F"	454	99728	455.2
	"2016"	"2016"	"75-84 years"	"75-84"	"Male"	"M"	426	82261	517.9
	"2016"	"2016"	"85+ years"	"85+"	"Female"	"F"	498	47011	1059.3
	"2016"	"2016"	"85+ years"	"85+"	"Male"	"M"	392	29190	1342.9
	"2017"	"2017"	"35-44 years"	"35-44"	"Female"	"F"	13	280515	Unreliable
	"2017"	"2017"	"45-54 years"	"45-54"	"Female"	"F"	22	276828	7.9
	"2017"	"2017"	"45-54 years"	"45-54"	"Male"	"M"	28	271169	10.3
	"2017"	"2017"	"55-64 years"	"55-64"	"Female"	"F"	127	257685	49.3
	"2017"	"2017"	"55-64 years"	"55-64"	"Male"	"M"	142	236845	60.0
	"2017"	"2017"	"65-74 years"	"65-74"	"Female"	"F"	318	201001	158.2
	"2017"	"2017"	"65-74 years"	"65-74"	"Male"	"M"	348	172896	201.3
	"2017"	"2017"	"75-84 years"	"75-84"	"Female"	"F"	481	103188	466.1
	"2017"	"2017"	"75-84 years"	"75-84"	"Male"	"M"	445	85482	520.6
	"2017"	"2017"	"85+ years"	"85+"	"Female"	"F"	499	46242	1079.1
	"2017"	"2017"	"85+ years"	"85+"	"Male"	"M"	366	29507	1240.4
	"2018"	"2018"	"35-44 years"	"35-44"	"Female"	"F"	13	287168	Unreliable
	"2018"	"2018"	"35-44 years"	"35-44"	"Male"	"M"	13	287120	Unreliable
	"2018"	"2018"	"45-54 years"	"45-54"	"Female"	"F"	50	279571	17.9
	"2018"	"2018"	"45-54 years"	"45-54"	"Male"	"M"	60	272878	22.0
	"2018"	"2018"	"55-64 years"	"55-64"	"Female"	"F"	140	265053	52.8
	"2018"	"2018"	"55-64 years"	"55-64"	"Male"	"M"	163	244911	66.6
	"2018"	"2018"	"65-74 years"	"65-74"	"Female"	"F"	332	209250	158.7
	"2018"	"2018"	"65-74 years"	"65-74"	"Male"	"M"	387	178860	216.4
	"2018"	"2018"	"75-84 years"	"75-84"	"Female"	"F"	514	110707	464.3
	"2018"	"2018"	"75-84 years"	"75-84"	"Male"	"M"	495	91844	539.0
	"2018"	"2018"	"85+ years"	"85+"	"Female"	"F"	548	47727	1148.2
	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	379	30897	1226.7
	"2019"	"2019"	"25-34 years"	"25-34"	"Male"	"M"	12	335559	Unreliable
	"2019"	"2019"	"35-44 years"	"35-44"	"Female"	"F"	16	291792	Unreliable
	"2019"	"2019"	"35-44 years"	"35-44"	"Male"	"M"	10	292550	Unreliable
	"2019"	"2019"	"45-54 years"	"45-54"	"Female"	"F"	32	281286	11.4
	"2019"	"2019"	"45-54 years"	"45-54"	"Male"	"M"	53	274352	19.3
	"2019"	"2019"	"55-64 years"	"55-64"	"Female"	"F"	149	271244	54.9
	"2019"	"2019"	"55-64 years"	"55-64"	"Male"	"M"	154	251104	61.3
	"2019"	"2019"	"65-74 years"	"65-74"	"Female"	"F"	311	217321	143.1
	"2019"	"2019"	"65-74 years"	"65-74"	"Male"	"M"	339	185158	183.1
	"2019"	"2019"	"75-84 years"	"75-84"	"Female"	"F"	480	116925	410.5
	"2019"	"2019"	"75-84 years"	"75-84"	"Male"	"M"	496	96605	513.4
	"2019"	"2019"	"85+ years"	"85+"	"Female"	"F"	489	48167	1015.2
	"2019"	"2019"	"85+ years"	"85+"	"Male"	"M"	395	32155	1228.4
	"2020 "	"2020"	"25-34 years"	"25-34"	"Female"	"F"	14	330337	Unreliable
	"2020 "	"2020"	"25-34 years"	"25-34"	"Male"	"M"	14	344222	Unreliable
	"2020 "	"2020"	"35-44 years"	"35-44"	"Female"	"F"	16	297768	Unreliable
	"2020 "	"2020"	"35-44 years"	"35-44"	"Male"	"M"	20	299480	6.7
	"2020 "	"2020"	"45-54 years"	"45-54"	"Female"	"F"	58	284897	20.4
	"2020 "	"2020"	"45-54 years"	"45-54"	"Male"	"M"	63	277759	22.7
	"2020 "	"2020"	"55-64 years"	"55-64"	"Female"	"F"	155	276956	56.0
	"2020 "	"2020"	"55-64 years"	"55-64"	"Male"	"M"	217	257448	84.3
	"2020 "	"2020"	"65-74 years"	"65-74"	"Female"	"F"	356	226935	156.9
	"2020 "	"2020"	"65-74 years"	"65-74"	"Male"	"M"	388	192741	201.3
	"2020 "	"2020"	"75-84 years"	"75-84"	"Female"	"F"	487	124045	392.6
	"2020 "	"2020"	"75-84 years"	"75-84"	"Male"	"M"	535	102384	522.5
	"2020 "	"2020"	"85+ years"	"85+"	"Female"	"F"	511	49896	1024.1
	"2020 "	"2020"	"85+ years"	"85+"	"Male"	"M"	405	33811	1197.8
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"States: Maricopa County, AZ (04013)"
"UCD - ICD-10 Codes: J00-J98 (Diseases of the respiratory system)"
"Group By: Year; Ten-Year Age Groups; Gender"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Nov 17, 2024 10:34:49 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Nov 17, 2024 10:34:49 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"5. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
